;alg;city;ndcg10;period
0;SVD c аддаптивным окном;0.0;0.005560774440545972;2020-01 - 2020-03
1;SVD c аддаптивным окном;0.0;0.0029377066628645124;2020-03 - 2020-08
2;SVD c аддаптивным окном;0.0;0.004288291769436766;2020-08 - 2020-10
3;SVD c аддаптивным окном;1.0;0.0006395726859967376;2020-01 - 2020-03
4;SVD c аддаптивным окном;1.0;0.0;2020-03 - 2020-08
5;SVD c аддаптивным окном;1.0;0.032242209329761504;2020-08 - 2020-10
6;SVD c аддаптивным окном;2.0;0.012960487081374986;2020-01 - 2020-03
7;SVD c аддаптивным окном;2.0;0.0066580632317736164;2020-03 - 2020-08
8;SVD c аддаптивным окном;2.0;0.002269999668101228;2020-08 - 2020-10
9;SVD c аддаптивным окном;3.0;0.0;2020-01 - 2020-03
10;SVD c аддаптивным окном;3.0;0.027811235902155125;2020-03 - 2020-08
11;SVD c аддаптивным окном;3.0;0.0;2020-08 - 2020-10
12;SVD c аддаптивным окном;4.0;0.01090406372772584;2020-01 - 2020-03
13;SVD c аддаптивным окном;4.0;0.011890627586730443;2020-03 - 2020-08
14;SVD c аддаптивным окном;4.0;0.008168245906204241;2020-08 - 2020-10
