;alg;city;ndcg10;period
0;SVD с затуханием;0.0;0.005504164942793059;2020-01 - 2020-03
1;SVD с затуханием;0.0;0.005937161510068929;2020-03 - 2020-08
2;SVD с затуханием;0.0;0.004572475577912521;2020-08 - 2020-10
3;SVD с затуханием;1.0;0.005482155039765553;2020-01 - 2020-03
4;SVD с затуханием;1.0;0.0;2020-03 - 2020-08
5;SVD с затуханием;1.0;0.004799200529065843;2020-08 - 2020-10
6;SVD с затуханием;2.0;0.009095551421434117;2020-01 - 2020-03
7;SVD с затуханием;2.0;0.014898714029462889;2020-03 - 2020-08
8;SVD с затуханием;2.0;0.01446031724232177;2020-08 - 2020-10
9;SVD с затуханием;3.0;0.011185287138596772;2020-01 - 2020-03
10;SVD с затуханием;3.0;0.0;2020-03 - 2020-08
11;SVD с затуханием;3.0;0.0;2020-08 - 2020-10
12;SVD с затуханием;4.0;0.010316128872648812;2020-01 - 2020-03
13;SVD с затуханием;4.0;0.01065011667289732;2020-03 - 2020-08
14;SVD с затуханием;4.0;0.010252968546765042;2020-08 - 2020-10
